image,noise_type,intensity,ista_psnr,ista_ssim,ista_time,bm3d_psnr,bm3d_ssim,bm3d_time
lenna,Salt-Pepper,0.1,21.847346202618997,0.3765054294694134,1.0661284923553467,32.84608876951753,0.8697423302535048,1.243178367614746
lenna,Salt-Pepper,0.2,17.760328110741128,0.19761475131003617,0.994736909866333,29.739402755562118,0.8093112273226412,1.3114113807678223
man,Gaussian,15.0,27.40575221001358,0.7461778323578869,0.9882972240447998,24.88543896573365,0.6421476087331214,1.2895872592926025
man,Gaussian,25.0,25.279824845040956,0.6227181192783736,1.1300032138824463,24.65220549594939,0.6306672173797826,1.2221872806549072
man,Gaussian,50.0,18.54882294410311,0.3121700948787575,0.9250667095184326,23.750074049094625,0.5835420419411679,1.1607935428619385
man,Salt-Pepper,0.05,22.481058352861073,0.49568401045940963,0.922168493270874,28.40378806463479,0.8340179378136877,1.2333385944366455
man,Salt-Pepper,0.1,19.999990547700687,0.3763616348770315,0.9983906745910645,27.703760918698585,0.7998068765466496,1.224362850189209
man,Salt-Pepper,0.2,16.50343335014556,0.23299930060626003,0.9514734745025635,25.10071546808804,0.6755571371581486,1.2836143970489502
monarch,Gaussian,15.0,30.161756527747126,0.8610251947702097,1.2862050533294678,27.885508765978027,0.8858866216051736,1.7228968143463135
monarch,Gaussian,25.0,26.362100833353352,0.5823932137511973,1.233419418334961,27.36549723253851,0.8703956226247211,1.6111505031585693
monarch,Gaussian,50.0,18.29399132517185,0.23993085957419805,1.3424217700958252,25.691071707431906,0.7791261735146389,1.570406436920166
monarch,Salt-Pepper,0.05,24.46561921599614,0.6007766795279437,1.287795066833496,33.4215064446183,0.9597688704069065,1.6671438217163086
monarch,Salt-Pepper,0.1,21.59932598286833,0.40298287191847537,1.2735867500305176,32.24582707773381,0.9498373183889471,1.7082653045654297
monarch,Salt-Pepper,0.2,17.751350668892748,0.22191695085317353,1.5911376476287842,28.02707807711538,0.9045160816731107,1.6954455375671387
pepper,Gaussian,15.0,30.584258823921274,0.7971224428658089,0.9315476417541504,30.18220146413478,0.8167468581022232,1.2113399505615234
pepper,Gaussian,25.0,26.696640734933787,0.5706753457834658,0.9435138702392578,29.3202584498534,0.802026810359869,1.2712576389312744
pepper,Gaussian,50.0,18.4758899874753,0.21868722702762905,0.9889540672302246,27.04787526266875,0.7207728629660914,1.1928367614746094
pepper,Salt-Pepper,0.05,24.706869895986877,0.5376430554670327,0.958489179611206,33.910331275663296,0.8827146160003069,1.1861836910247803
pepper,Salt-Pepper,0.1,21.655229385113827,0.36822075069419574,1.1982111930847168,32.56783236503437,0.8686281930224696,1.2155375480651855
pepper,Salt-Pepper,0.2,17.52477389308398,0.19475651857737414,1.181093454360962,30.383572992262373,0.833570344494047,1.3358852863311768
ppt3,Gaussian,15.0,27.782025714178943,0.8651430366520589,1.3569717407226562,22.53430442201403,0.8870702289260393,1.5269312858581543
ppt3,Gaussian,25.0,25.227371280694104,0.7227498723770712,1.186579942703247,22.392996335169034,0.8649283320070438,1.4595777988433838
ppt3,Gaussian,50.0,19.020992562436177,0.3619901755088707,1.1181652545928955,21.806473529944572,0.7966376657017866,1.582855463027954
ppt3,Salt-Pepper,0.05,21.071101673712683,0.48403845403706186,1.5609121322631836,27.874386132652553,0.9718718410351342,1.4830801486968994
ppt3,Salt-Pepper,0.1,18.151639936896583,0.33212395569180825,1.2900335788726807,26.920898204779835,0.9643200192123164,1.4670121669769287
ppt3,Salt-Pepper,0.2,14.598827604965976,0.2169293212315738,1.2288804054260254,21.930387921789716,0.9017529558407602,1.5795676708221436
zebra,Gaussian,15.0,27.41013266390635,0.7843699104216953,0.6667494773864746,24.923324470918402,0.6510517083468608,1.1476225852966309
zebra,Gaussian,25.0,25.08553586206114,0.6740906196488216,0.7119195461273193,24.46907142309794,0.640494130557522,1.1916089057922363
zebra,Gaussian,50.0,18.181829213260183,0.3771384773962549,0.8787646293640137,23.249373864481807,0.60976835882846,1.1534883975982666
zebra,Salt-Pepper,0.05,22.644306833178295,0.572235339867407,0.6436223983764648,30.78122926983053,0.9058027959914777,1.1595373153686523
zebra,Salt-Pepper,0.1,20.32837112349114,0.4666188210215427,0.715503454208374,29.25297002745951,0.8594155955265399,1.1316184997558594
zebra,Salt-Pepper,0.2,16.96221458280155,0.3137168958679289,0.6734051704406738,25.088102023554143,0.6907779960279806,1.0585260391235352
